id,sentiment,author,content,empty,anger,boredom,enthusiasm,fun,happiness,hate,love,neutral,relief,sadness,surprise,worry,depressed
1956967341,empty,xoshayzers,i know  i was listenin to bad habit earlier and i started freakin at his part [,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956967789,enthusiasm,czareaquino,wants to hang out with friends SOON!,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1956968416,neutral,xkilljoyx,"We want to trade with someone who has Houston tickets, but no one will.",0,0,0,0,0,0,0,0,1,0,0,0,0,0
1956968477,worry,xxxPEACHESxxx,Re-pinging why didn't you go to prom? BC my bf didn't like my friends,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp he wants me 2! scandalous!",0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956968636,worry,mcsleazy,Hmmm. http//www.djhero.com/ is down,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956969035,sadness,nic0lepaula,Charlene my love. I miss you,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956969172,sadness,Ingenue_Em,I'm sorry  at least it's Friday?,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956969456,neutral,feinyheiny,cant fall asleep,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1956969531,worry,dudeitsmanda,Choked on her retainers,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956970424,sadness,Samm_xo,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956970860,surprise,okiepeanut93,Got the news,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1956971077,sadness,Sim_34,The storm is here and the electricity is gone,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956971170,love,poppygallico,agreed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956971473,worry,LCJ82,lady gaga tweeted about not being impressed by her video leaking just so you know,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1956971981,worry,andreagauster,oh too bad! I hope it gets better. I've been having sleep issues lately too,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",0,0,0,0,1,0,0,0,0,0,0,0,0,0
1956972116,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http//tr.im/mL6Z (via #topicmaps,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1956972270,worry,sweet8181,I ate Something I don't know what it is... Why do I keep Telling things about food,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quotearly&quot for once.,0,0,0,0,0,0,0,0,0,0,1,0,0,0
